Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,City,San Diego,Police,Police Officer II,False,False,,87256,105435,,102664,246910,12871,22464,384909,20029,0,0,7532,27561,3.0% @ 50,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Police,Police Sergeant,False,False,,105872,128003,,125301,201250,41263,13752,381566,0,0,4508,19000,23508,3.0% @ 50,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Fire-Rescue,Fire Engineer,False,False,,69389,83886,,28837,256533,32027,32616,350013,21467,0,0,20750,42217,3.0% @ 50,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Retirement,Retirement Administrator,False,False,,106371,424736,,335016,0,0,12739,347755,19860,0,17932,0,37792,1.0% @ 55,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Police,Police Sergeant,False,False,,105872,128003,,122846,202222,5342,14703,345113,21792,0,0,17812,39604,3.0% @ 50,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Police,Police Sergeant,False,False,,105872,128003,,124604,162507,22738,30156,340005,30699,0,0,8236,38935,3.0% @ 50,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Fire-Rescue,Fire Battalion Chief,False,False,,97864,118414,,116190,177546,0,45680,339416,0,0,4815,8078,12893,3.0% @ 50,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,City Attorney,Deputy City Attorney,False,False,,24107,276494,,202608,0,0,134310,336918,12763,0,12015,22943,47721,1.0% @ 55,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Police,Police Sergeant,False,False,,105872,128003,,102445,161740,55473,14815,334473,0,0,3703,15042,18745,3.0% @ 50,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Police,Police Officer II,False,False,,87256,105435,,102664,202619,7330,17698,330311,21349,0,0,19000,40349,3.0% @ 50,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Police,Police Chief,False,False,,83242,315328,,254442,0,17040,25202,296684,0,0,8420,19667,28087,3.0% @ 50,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Fire-Rescue,Fire Prevention Inspector II,False,False,,69389,83886,,78213,91485,87281,36594,293573,19217,0,0,7466,26683,3.0% @ 50,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Development Services,Structural Engineering Senior,False,False,,98446,118997,,113044,106931,9368,60312,289655,8832,0,14311,197,23340,1.0% @ 55,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Police,Police Sergeant,False,False,,105872,128003,,124584,141255,0,23498,289337,26646,0,0,19000,45646,3.0% @ 50,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Police,Police Officer II,False,False,,87256,105435,,102640,154351,9092,22804,288887,19369,0,0,8551,27920,3.0% @ 50,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Development Services,Structural Engineering Senior,False,False,,98446,118997,,116178,129799,9368,31641,286986,20441,0,17352,22125,59918,2.5% @ 55,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Fire-Rescue,Fire Battalion Chief,False,False,,97864,118414,,110094,105811,9674,59761,285340,27364,0,0,20750,48114,3.0% @ 50,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,City Attorney,Deputy City Attorney,False,False,,24107,276494,,191716,0,0,92785,284501,12056,0,11097,22916,46069,1.0% @ 55,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Fire-Rescue,Fire Battalion Chief,False,False,,97864,118414,,111752,112381,9923,48330,282386,28585,0,0,20750,49335,3.0% @ 50,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Police,Executive Assistant Police Chief,False,False,,83242,315328,,238302,0,15959,26213,280474,0,0,7886,16278,24164,3.0% @ 50,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Retirement,Retirement General Counsel,False,False,,106371,424736,,279868,0,0,-723,279145,30103,0,2798,18396,51297,1.0% @ 55,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Fire-Rescue,Fire Chief,False,False,,83242,315328,,249926,0,15818,13316,279060,0,0,7623,246,7869,3.0% @ 50,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Fire-Rescue,Fire Battalion Chief,False,False,,97864,118414,,110852,138799,2008,26608,278267,0,0,4478,20646,25124,3.0% @ 50,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Development Services,Structural Engineering Senior,False,False,,98446,118997,,115242,115752,9455,36824,277273,18365,0,20705,14000,53070,2.5% @ 55,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Police,Police Sergeant,False,False,,105872,128003,,124634,117857,0,34106,276597,24226,0,0,0,24226,3.0% @ 50,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Fire-Rescue,Fire Captain,False,False,,79955,96782,,95205,129033,0,50517,274755,20209,0,0,13708,33917,3.0% @ 50,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Police,Assistant Police Chief,False,False,,83242,315328,,227224,0,15449,31322,273995,0,0,7519,7532,15051,3.0% @ 50,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
2022,City,San Diego,Retirement,Assistant Retirement Administrator,False,False,,106371,424736,,279868,0,0,-5989,273879,36637,0,16583,21500,74720,2.5% @ 55,www.sandiego.gov,1368395,06/27/2023,San Diego,,False,
