comments,duration,event,main_speaker,title,published_date,ratings,views
4553,1164,TED2006,Ken Robinson,Ken Robinson: Do schools kill creativity?,1151367060,"[{'id': 7, 'name': 'Funny', 'count': 19645}, {'id': 1, 'name': 'Beautiful', 'count': 4573}, {'id': 9, 'name': 'Ingenious', 'count': 6073}, {'id': 3, 'name': 'Courageous', 'count': 3253}, {'id': 11, 'name': 'Longwinded', 'count': 387}, {'id': 2, 'name': 'Confusing', 'count': 242}, {'id': 8, 'name': 'Informative', 'count': 7346}, {'id': 22, 'name': 'Fascinating', 'count': 10581}, {'id': 21, 'name': 'Unconvincing', 'count': 300}, {'id': 24, 'name': 'Persuasive', 'count': 10704}, {'id': 23, 'name': 'Jaw-dropping', 'count': 4439}, {'id': 25, 'name': 'OK', 'count': 1174}, {'id': 26, 'name': 'Obnoxious', 'count': 209}, {'id': 10, 'name': 'Inspiring', 'count': 24924}]",47227110
265,977,TED2006,Al Gore,Al Gore: Averting the climate crisis,1151367060,"[{'id': 7, 'name': 'Funny', 'count': 544}, {'id': 3, 'name': 'Courageous', 'count': 139}, {'id': 2, 'name': 'Confusing', 'count': 62}, {'id': 1, 'name': 'Beautiful', 'count': 58}, {'id': 21, 'name': 'Unconvincing', 'count': 258}, {'id': 11, 'name': 'Longwinded', 'count': 113}, {'id': 8, 'name': 'Informative', 'count': 443}, {'id': 10, 'name': 'Inspiring', 'count': 413}, {'id': 22, 'name': 'Fascinating', 'count': 132}, {'id': 9, 'name': 'Ingenious', 'count': 56}, {'id': 24, 'name': 'Persuasive', 'count': 268}, {'id': 23, 'name': 'Jaw-dropping', 'count': 116}, {'id': 26, 'name': 'Obnoxious', 'count': 131}, {'id': 25, 'name': 'OK', 'count': 203}]",3200520
124,1286,TED2006,David Pogue,David Pogue: Simplicity sells,1151367060,"[{'id': 7, 'name': 'Funny', 'count': 964}, {'id': 3, 'name': 'Courageous', 'count': 45}, {'id': 9, 'name': 'Ingenious', 'count': 183}, {'id': 1, 'name': 'Beautiful', 'count': 60}, {'id': 21, 'name': 'Unconvincing', 'count': 104}, {'id': 11, 'name': 'Longwinded', 'count': 78}, {'id': 8, 'name': 'Informative', 'count': 395}, {'id': 10, 'name': 'Inspiring', 'count': 230}, {'id': 22, 'name': 'Fascinating', 'count': 166}, {'id': 2, 'name': 'Confusing', 'count': 27}, {'id': 25, 'name': 'OK', 'count': 146}, {'id': 24, 'name': 'Persuasive', 'count': 230}, {'id': 23, 'name': 'Jaw-dropping', 'count': 54}, {'id': 26, 'name': 'Obnoxious', 'count': 142}]",1636292
200,1116,TED2006,Majora Carter,Majora Carter: Greening the ghetto,1151367060,"[{'id': 3, 'name': 'Courageous', 'count': 760}, {'id': 1, 'name': 'Beautiful', 'count': 291}, {'id': 2, 'name': 'Confusing', 'count': 32}, {'id': 7, 'name': 'Funny', 'count': 59}, {'id': 9, 'name': 'Ingenious', 'count': 105}, {'id': 21, 'name': 'Unconvincing', 'count': 36}, {'id': 11, 'name': 'Longwinded', 'count': 53}, {'id': 8, 'name': 'Informative', 'count': 380}, {'id': 10, 'name': 'Inspiring', 'count': 1070}, {'id': 22, 'name': 'Fascinating', 'count': 132}, {'id': 24, 'name': 'Persuasive', 'count': 460}, {'id': 23, 'name': 'Jaw-dropping', 'count': 230}, {'id': 26, 'name': 'Obnoxious', 'count': 35}, {'id': 25, 'name': 'OK', 'count': 85}]",1697550
593,1190,TED2006,Hans Rosling,Hans Rosling: The best stats you've ever seen,1151440680,"[{'id': 9, 'name': 'Ingenious', 'count': 3202}, {'id': 7, 'name': 'Funny', 'count': 1390}, {'id': 1, 'name': 'Beautiful', 'count': 942}, {'id': 3, 'name': 'Courageous', 'count': 318}, {'id': 11, 'name': 'Longwinded', 'count': 110}, {'id': 2, 'name': 'Confusing', 'count': 72}, {'id': 21, 'name': 'Unconvincing', 'count': 67}, {'id': 8, 'name': 'Informative', 'count': 5433}, {'id': 10, 'name': 'Inspiring', 'count': 2893}, {'id': 22, 'name': 'Fascinating', 'count': 4606}, {'id': 23, 'name': 'Jaw-dropping', 'count': 3736}, {'id': 24, 'name': 'Persuasive', 'count': 2542}, {'id': 25, 'name': 'OK', 'count': 248}, {'id': 26, 'name': 'Obnoxious', 'count': 61}]",12005869
672,1305,TED2006,Tony Robbins,Tony Robbins: Why we do what we do,1151440680,"[{'id': 7, 'name': 'Funny', 'count': 1102}, {'id': 3, 'name': 'Courageous', 'count': 721}, {'id': 21, 'name': 'Unconvincing', 'count': 377}, {'id': 2, 'name': 'Confusing', 'count': 301}, {'id': 1, 'name': 'Beautiful', 'count': 706}, {'id': 9, 'name': 'Ingenious', 'count': 397}, {'id': 11, 'name': 'Longwinded', 'count': 285}, {'id': 8, 'name': 'Informative', 'count': 1038}, {'id': 10, 'name': 'Inspiring', 'count': 5211}, {'id': 22, 'name': 'Fascinating', 'count': 1350}, {'id': 24, 'name': 'Persuasive', 'count': 2423}, {'id': 25, 'name': 'OK', 'count': 441}, {'id': 23, 'name': 'Jaw-dropping', 'count': 669}, {'id': 26, 'name': 'Obnoxious', 'count': 335}]",20685401
919,992,TED2006,Julia Sweeney,Julia Sweeney: Letting go of God,1152490260,"[{'id': 3, 'name': 'Courageous', 'count': 477}, {'id': 7, 'name': 'Funny', 'count': 2484}, {'id': 9, 'name': 'Ingenious', 'count': 320}, {'id': 21, 'name': 'Unconvincing', 'count': 225}, {'id': 1, 'name': 'Beautiful', 'count': 277}, {'id': 2, 'name': 'Confusing', 'count': 72}, {'id': 8, 'name': 'Informative', 'count': 226}, {'id': 10, 'name': 'Inspiring', 'count': 438}, {'id': 22, 'name': 'Fascinating', 'count': 316}, {'id': 11, 'name': 'Longwinded', 'count': 193}, {'id': 24, 'name': 'Persuasive', 'count': 311}, {'id': 25, 'name': 'OK', 'count': 308}, {'id': 26, 'name': 'Obnoxious', 'count': 290}, {'id': 23, 'name': 'Jaw-dropping', 'count': 61}]",3769987
46,1198,TED2006,Joshua Prince-Ramus,Joshua Prince-Ramus: Behind the design of Seattle's library,1152490260,"[{'id': 9, 'name': 'Ingenious', 'count': 195}, {'id': 1, 'name': 'Beautiful', 'count': 98}, {'id': 11, 'name': 'Longwinded', 'count': 26}, {'id': 3, 'name': 'Courageous', 'count': 34}, {'id': 21, 'name': 'Unconvincing', 'count': 26}, {'id': 10, 'name': 'Inspiring', 'count': 175}, {'id': 8, 'name': 'Informative', 'count': 121}, {'id': 22, 'name': 'Fascinating', 'count': 153}, {'id': 2, 'name': 'Confusing', 'count': 25}, {'id': 24, 'name': 'Persuasive', 'count': 37}, {'id': 25, 'name': 'OK', 'count': 63}, {'id': 23, 'name': 'Jaw-dropping', 'count': 57}, {'id': 7, 'name': 'Funny', 'count': 9}, {'id': 26, 'name': 'Obnoxious', 'count': 5}]",967741
852,1485,TED2006,Dan Dennett,Dan Dennett: Let's teach religion -- all religion -- in schools,1153181460,"[{'id': 3, 'name': 'Courageous', 'count': 562}, {'id': 2, 'name': 'Confusing', 'count': 70}, {'id': 21, 'name': 'Unconvincing', 'count': 283}, {'id': 7, 'name': 'Funny', 'count': 60}, {'id': 11, 'name': 'Longwinded', 'count': 177}, {'id': 9, 'name': 'Ingenious', 'count': 211}, {'id': 1, 'name': 'Beautiful', 'count': 145}, {'id': 8, 'name': 'Informative', 'count': 623}, {'id': 10, 'name': 'Inspiring', 'count': 441}, {'id': 22, 'name': 'Fascinating', 'count': 313}, {'id': 24, 'name': 'Persuasive', 'count': 764}, {'id': 23, 'name': 'Jaw-dropping', 'count': 60}, {'id': 25, 'name': 'OK', 'count': 154}, {'id': 26, 'name': 'Obnoxious', 'count': 83}]",2567958
900,1262,TED2006,Rick Warren,Rick Warren: A life of purpose,1153181460,"[{'id': 21, 'name': 'Unconvincing', 'count': 838}, {'id': 1, 'name': 'Beautiful', 'count': 767}, {'id': 3, 'name': 'Courageous', 'count': 476}, {'id': 9, 'name': 'Ingenious', 'count': 116}, {'id': 11, 'name': 'Longwinded', 'count': 306}, {'id': 2, 'name': 'Confusing', 'count': 111}, {'id': 8, 'name': 'Informative', 'count': 304}, {'id': 10, 'name': 'Inspiring', 'count': 2556}, {'id': 22, 'name': 'Fascinating', 'count': 459}, {'id': 7, 'name': 'Funny', 'count': 26}, {'id': 24, 'name': 'Persuasive', 'count': 1543}, {'id': 26, 'name': 'Obnoxious', 'count': 371}, {'id': 25, 'name': 'OK', 'count': 245}, {'id': 23, 'name': 'Jaw-dropping', 'count': 209}]",3095993
