Rank,Movie,Lifetime Gross,Year
1,Star Wars: Episode VII - The Force Awakens  (2015),936662225,2015
2,Avengers: Endgame (2019),858373000,2019
3,Spider-Man: No Way Home (2021),772170405,2021
4,Avatar (2009),760507625,2009
5,Black Panther (2018),700426566,2018
6,Avengers: Infinity War (2018),678815482,2018
7,Titanic (1997),659363944,1997
8,Jurassic World (2015),652385625,2015
9,The Avengers (2012),623357910,2012
10,Star Wars: Episode VIII - The Last Jedi (2017),620181382,2017
11,Incredibles 2 (2018),608581744,2018
12,The Lion King (2019),543638043,2019
13,The Dark Knight (2008),534858444,2008
14,Rogue One: A Star Wars Story (2016),532177324,2016
15,Star Wars: Episode IX - The Rise of Skywalker (2019),515202542,2019
16,Beauty and the Beast (2017),504481165,2017
17,Finding Dory (2016),486295561,2016
18,Frozen II (2019),477373578,2019
19,Star Wars: Episode I - The Phantom Menace (1999),474544677,1999
20,Star Wars: Episode IV - A New Hope (1977),460998507,1977
21,Avengers: Age of Ultron (2015),459005868,2015
22,The Dark Knight Rises (2012),448139099,2012
23,Shrek 2 (2004),441226247,2004
24,E.T. the Extra-Terrestrial (1982),435110554,1982
25,Toy Story 4 (2019),434038008,2019
26,Captain Marvel (2019),426829839,2019
27,The Hunger Games: Catching Fire (2013),424668047,2013
28,Pirates of the Caribbean: Dead Man's Chest (2006),423315812,2006
29,The Lion King (1994),422783777,1994
30,Jurassic World: Fallen Kingdom (2018),417719760,2018
31,Toy Story 3 (2010),415004880,2010
32,Wonder Woman (2017),412815408,2017
33,Iron Man 3 (2013),409013994,2013
34,Captain America: Civil War (2016),408084349,2016
35,The Hunger Games (2012),408010692,2012
36,Spider-Man (2002),407022860,2002
37,Jumanji: Welcome to the Jungle (2017),404540171,2017
38,Jurassic Park (1993),404214720,1993
39,Transformers: Revenge of the Fallen (2009),402111870,2009
40,Frozen (2013),400953009,2013
41,Spider-Man: Far from Home (2019),390532085,2019
42,Guardians of the Galaxy Vol. 2 (2017),389813101,2017
43,Harry Potter and the Deathly Hallows: Part 2 (2011),381409310,2011
44,Finding Nemo (2003),380843261,2003
45,Star Wars: Episode III - Revenge of the Sith (2005),380270577,2005
46,The Lord of the Rings: The Return of the King (2003),377845905,2003
47,Spider-Man 2 (2004),373585825,2004
48,The Passion of the Christ (2004),370782930,2004
49,The Secret Life of Pets (2016),368384330,2016
50,Despicable Me 2 (2013),368065385,2013
51,The Jungle Book (2016),364001123,2016
52,Deadpool (2016),363070709,2016
53,Inside Out (2015),356921711,2015
54,Aladdin (2019),355559216,2019
55,Furious 7 (2015),353007020,2015
56,Transformers: Dark of the Moon (2011),352390543,2011
57,American Sniper (2014),350126372,2014
58,The Lord of the Rings: The Two Towers (2002),342551365,2002
59,Zootopia (2016),341268248,2016
60,The Hunger Games: Mockingjay - Part 1 (2014),337135885,2014
61,Spider-Man 3 (2007),336530303,2007
62,Minions (2015),336045770,2015
63,Joker (2019),335451311,2019
64,Aquaman (2018),335061807,2018
65,Spider-Man: Homecoming (2017),334201140,2017
66,Alice in Wonderland (2010),334191110,2010
67,Guardians of the Galaxy (2014),333718600,2014
68,Forrest Gump (1994),330455270,1994
69,Batman v Superman: Dawn of Justice (2016),330360194,2016
70,It (2017),328828874,2017
71,Suicide Squad (2016),325100054,2016
72,Deadpool 2 (2018),324591735,2018
73,Shrek the Third (2007),322719944,2007
74,Jumanji: The Next Level (2019),320314960,2019
75,Transformers (2007),319246193,2007
76,Iron Man (2008),319034126,2008
77,Harry Potter and the Sorcerer's Stone (2001),318886962,2001
78,Indiana Jones and the Kingdom of the Crystal Skull (2008),317101119,2008
79,The Lord of the Rings: The Fellowship of the Ring (2001),316115420,2001
80,Thor: Ragnarok (2017),315058289,2017
81,Iron Man 2 (2010),312433331,2010
82,Star Wars: Episode II - Attack of the Clones (2002),310676740,2002
83,Pirates of the Caribbean: At World's End (2007),309420425,2007
84,Star Wars: Episode VI - Return of the Jedi (1983),309306177,1983
85,Independence Day (1996),306169268,1996
86,Pirates of the Caribbean: The Curse of the Black Pearl (2003),305413918,2003
87,Skyfall (2012),304360277,2012
88,The Hobbit: An Unexpected Journey (2012),303003568,2012
89,Harry Potter and the Half-Blood Prince (2009),302305431,2009
90,The Twilight Saga: Eclipse (2010),300531751,2010
91,The Twilight Saga: New Moon (2009),297816253,2009
92,Harry Potter and the Deathly Hallows: Part 1 (2010),296347721,2010
93,The Sixth Sense (1999),293506292,1999
94,Up (2009),293004164,2009
95,Star Wars: Episode V - The Empire Strikes Back (1980),292753960,1980
96,Inception (2010),292576195,2010
97,Harry Potter and the Order of the Phoenix (2007),292353413,2007
98,The Twilight Saga: Breaking Dawn - Part 2 (2012),292324737,2012
99,The Chronicles of Narnia: The Lion the Witch and the Wardrobe (2005),291710957,2005
100,Man of Steel (2013),291045518,2013
101,Monsters Inc. (2001),290642256,2001
102,Harry Potter and the Goblet of Fire (2005),290417905,2005
103,Home Alone (1990),285761243,1990
104,The Hunger Games: Mockingjay - Part 2 (2015),281723902,2015
105,The Matrix Reloaded (2003),281576461,2003
106,The Twilight Saga: Breaking Dawn - Part 1 (2011),281287133,2011
107,Meet the Fockers (2004),279261160,2004
108,The Hangover (2009),277322503,2009
109,Gravity (2013),274092705,2013
110,The Grinch (2018),271094731,2018
111,Sing (2016),270448425,2016
112,Monsters University (2013),268492764,2013
113,Shrek (2001),267665011,2001
114,Despicable Me 3 (2017),264624300,2017
115,Harry Potter and the Chamber of Secrets (2002),262450136,2002
116,The Amazing Spider-Man (2012),262030663,2012
117,The Incredibles (2004),261441092,2004
118,Jaws (1975),260758300,1975
119,How the Grinch Stole Christmas (2000),260465005,2000
120,Captain America: The Winter Soldier (2014),259766572,2014
121,The Hobbit: The Desolation of Smaug (2013),258366855,2013
122,The Lego Movie (2014),257760692,2014
123,Star Trek (2009),257730019,2009
124,I Am Legend (2007),256393010,2007
125,The Blind Side (2009),255959475,2009
