Year,Population
1950,2558023014
1951,2595838116
1952,2637936830
1953,2683288876
1954,2731379529
1955,2782973591
1956,2836130358
1957,2892165757
1958,2948892474
1959,3001437149
1960,3043723411
1961,3084753192
1962,3140982059
1963,3210747452
1964,3282150912
1965,3351447909
1966,3421950085
1967,3491918938
1968,3563999493
1969,3638882226
1970,3714262611
1971,3791705363
1972,3867790515
1973,3943299941
1974,4018289723
1975,4089897507
1976,4160016430
1977,4230925634
1978,4301796324
1979,4375462721
1980,4446018801
1981,4527470698
1982,4610284677
1983,4694209205
1984,4775889225
1985,4860691329
1986,4947831057
1987,5037623680
1988,5128370129
1989,5218863705
1990,5311093985
1991,5398248391
1992,5484859952
1993,5568560590
1994,5650427498
1995,5733476988
1996,5815625725
1997,5896157461
1998,5975537190
1999,6054374592
2000,6133007860
2001,6211824800
2002,6290903765
2003,6369899427
2004,6449064951
2005,6528030077
2006,6608491622
2007,6690682690
2008,6774892222
2009,6859055794
2010,6942148774
2011,7024885273
2012,7108237070
2013,7192338928
2014,7276120452
2015,7358968084
2016,7441688089
2017,7523957647
2018,7605030254
2019,7685586259
2020,7764965463
2021,7837646014
2022,7906702795
2023,7982019198
