Rank,Name,Industry,Sector,Headquarters,Revenue,% Change,Profit,Asset,Market Value,Employees
1,Walmart,General Merchandisers,Retailing,"Bentonville, AR",$611.29,7%,$11.68,$243.20,$397.48,2100000
2,Amazon,Internet Services and Retailing,Retailing,"Seattle, WA",$513.98,9%,$2.72,$462.68,$1058.44,1541000
3,Exxon Mobil,Petroleum Refining,Energy,"Irving, TX",$413.68,45%,$55.74,$369.07,$446.42,62000
4,Apple,"Computers, Office Equipment",Technology,"Cupertino, CA",$394.33,8%,$99.80,$352.76,$2609.04,164000
5,UnitedHealth Group,Health Care: Insurance and Managed Care,Health Care,"Minnetonka, MN",$324.16,13%,$20.12,$245.70,$440.85,400000
6,CVS Health,Health Care: Pharmacy and Other Services,Health Care,"Woonsocket, RI",$322.47,10%,$4.15,$228.28,$95.42,259500
7,Berkshire Hathaway,Insurance: Property and Casualty (Stock),Financials,"Omaha, NE",$302.09,9%,$22.82,$948.45,$675.66,383000
8,Alphabet,Internet Services and Retailing,Technology,"Mountain View, CA",$282.84,10%,$59.97,$365.26,$1330.20,190234
9,McKesson,Wholesalers: Health Care,Health Care,"Irving, TX",$263.97,11%,$1.11,$63.30,$48.76,66500
10,Chevron,Petroleum Refining,Energy,"San Ramon, CA",$246.25,52%,$35.47,$257.71,$311.09,43846
11,AmerisourceBergen,Wholesalers: Health Care,Health Care,"Conshohocken, PA",$238.59,11%,$1.70,$56.56,$32.38,41500
12,Costco Wholesale,General Merchandisers,Retailing,"Issaquah, WA",$226.95,16%,$5.84,$64.17,$220.35,304000
13,Microsoft,Computer Software,Technology,"Redmond, WA",$198.27,18%,$72.74,$364.84,$2146.05,221000
14,Cardinal Health,Wholesalers: Health Care,Health Care,"Dublin, OH",$181.36,12%,$0.93,$43.88,$19.45,46035
15,Cigna,Health Care: Pharmacy and Other Services,Health Care,"Bloomfield, CT",$180.52,4%,$6.67,$143.93,$75.90,70231
16,Marathon Petroleum,Petroleum Refining,Energy,"Findlay, OH",$180.01,28%,$14.52,$89.90,$59.54,17800
17,Phillips 66,Petroleum Refining,Energy,"Houston, TX",$175.70,53%,$11.02,$76.44,$46.73,13000
18,Valero Energy,Petroleum Refining,Energy,"San Antonio, TX",$171.19,58%,$11.53,$60.98,$51.35,9743
19,Ford Motor,Motor Vehicles & Parts,Motor Vehicles & Parts,"Dearborn, MI",$158.06,16%,$1.98,$255.88,$50.40,173000
20,Home Depot,Specialty Retailers: Other,Retailing,"Atlanta, GA",$157.40,4%,$17.10,$76.44,$299.53,471600
21,General Motors,Motor Vehicles & Parts,Motor Vehicles & Parts,"Detroit, MI",$156.74,23%,$9.93,$264.04,$51.16,167000
22,Elevance Health,Health Care: Insurance and Managed Care,Health Care,"Indianapolis, IN",$156.60,13%,$6.02,$102.77,$109.10,102300
23,JPMorgan Chase,Commercial Banks,Financials,"New York, NY",$154.79,22%,$37.68,$3665.74,$383.55,293723
24,Kroger,Food & Drug Stores,Food & Drug Stores,"Cincinnati, OH",$148.26,8%,$2.24,$49.62,$35.42,430000
25,Centene,Health Care: Insurance and Managed Care,Health Care,"St. Louis, MO",$144.55,15%,$1.20,$76.87,$34.81,74300
26,Verizon Communications,Telecommunications,Telecommunications,"New York, NY",$136.84,2%,$21.26,$379.68,$163.33,117100
