Park Name,Category,Order,Family,Common Names,Abundance
Channel Islands National Park,Mammal,Carnivora,Canidae,Channel Islands Gray Fox,Rare
Channel Islands National Park,Mammal,Carnivora,Mephitidae,Spotted Skunk,Uncommon
Channel Islands National Park,Mammal,Carnivora,Mustelidae,Sea Otter,Unknown
Channel Islands National Park,Mammal,Carnivora,Otariidae,Guadalupe Fur Seal,Occasional
Channel Islands National Park,Mammal,Carnivora,Otariidae,Northern Fur Seal,Uncommon
Channel Islands National Park,Mammal,Carnivora,Otariidae,"Northern Sea Lion, Stellar Sea Lion",Occasional
Channel Islands National Park,Mammal,Carnivora,Otariidae,California Sea Lion,Common
Channel Islands National Park,Mammal,Carnivora,Phocidae,Northern Elephant Seal,Common
Channel Islands National Park,Mammal,Carnivora,Phocidae,Harbor Seal,Uncommon
Channel Islands National Park,Mammal,Cetacea,Balaenidae,Northern Right Whale,Uncommon
Channel Islands National Park,Mammal,Cetacea,Balaenopteridae,Minke Whale,Uncommon
Channel Islands National Park,Mammal,Cetacea,Balaenopteridae,Rorqual (Sei Whale),Rare
Channel Islands National Park,Mammal,Cetacea,Balaenopteridae,Blue Whale,Uncommon
Channel Islands National Park,Mammal,Cetacea,Balaenopteridae,Finback Whale,Unknown
Channel Islands National Park,Mammal,Cetacea,Balaenopteridae,Humback Whale,Rare
Channel Islands National Park,Mammal,Cetacea,Delphinidae,Common Dolphin,Abundant
Channel Islands National Park,Mammal,Cetacea,Delphinidae,Risso Dolphin,Uncommon
Channel Islands National Park,Mammal,Cetacea,Delphinidae,Pacific White-Sided Dolphin,Unknown
Channel Islands National Park,Mammal,Cetacea,Delphinidae,Right Whale Dolphin,Unknown
Channel Islands National Park,Mammal,Cetacea,Delphinidae,Killer Whale,Rare
Channel Islands National Park,Mammal,Cetacea,Delphinidae,False Killer Whale,Unknown
Channel Islands National Park,Mammal,Cetacea,Delphinidae,Rough-Toothed Dolphin,Unknown
Channel Islands National Park,Mammal,Cetacea,Delphinidae,Pacific Bottlenose Dolphin,Unknown
Channel Islands National Park,Mammal,Cetacea,Eschrichtiidae,Gray Whale,Uncommon
Channel Islands National Park,Mammal,Cetacea,Hyperoodontidae,Pacific Beaked Whale,Unknown
Channel Islands National Park,Mammal,Cetacea,Kogiidae,Pygmy Sperm Whale,Unknown
Channel Islands National Park,Mammal,Cetacea,Phocoenidae,Harbor Porpoise,Unknown
Channel Islands National Park,Mammal,Cetacea,Phocoenidae,Dall's Porpoise,Unknown
Channel Islands National Park,Mammal,Cetacea,Physeteridae,Sperm Whale,Unknown
Channel Islands National Park,Mammal,Chiroptera,Molossidae,Western Mastiff Bat,Occasional
Channel Islands National Park,Mammal,Chiroptera,Molossidae,Mexican Free-Tailed Bat,Occasional
Channel Islands National Park,Mammal,Chiroptera,Vespertilionidae,Pallid Bat,Uncommon
Channel Islands National Park,Mammal,Chiroptera,Vespertilionidae,Big Brown Bat,Occasional
Channel Islands National Park,Mammal,Chiroptera,Vespertilionidae,Silver-Haired Bat,Occasional
Channel Islands National Park,Mammal,Chiroptera,Vespertilionidae,Red Bat,Occasional
Channel Islands National Park,Mammal,Chiroptera,Vespertilionidae,Hoary Bat,Rare
Channel Islands National Park,Mammal,Chiroptera,Vespertilionidae,California Myotis,Uncommon
Channel Islands National Park,Mammal,Chiroptera,Vespertilionidae,Long-Eared Myotis,Occasional
Channel Islands National Park,Mammal,Chiroptera,Vespertilionidae,Fringed Myotis,Occasional
Channel Islands National Park,Mammal,Chiroptera,Vespertilionidae,Townsend's Big-Eared Bat,Uncommon
Channel Islands National Park,Mammal,Lagomorpha,Leporidae,European Rabbit,Unknown
Channel Islands National Park,Mammal,Rodentia,Cricetidae,Deer Mouse,Uncommon
Channel Islands National Park,Mammal,Rodentia,Cricetidae,Western Harvest Mouse,Unknown
Channel Islands National Park,Mammal,Rodentia,Muridae,Black Rat,Unknown
Channel Islands National Park,Bird,Accipitriformes,Accipitridae,Cooper's Hawk,Occasional
Channel Islands National Park,Bird,Accipitriformes,Accipitridae,Northern Goshawk,Occasional
Channel Islands National Park,Bird,Accipitriformes,Accipitridae,Sharp-Shinned Hawk,Uncommon
Channel Islands National Park,Bird,Accipitriformes,Accipitridae,Golden Eagle,Rare
Channel Islands National Park,Bird,Accipitriformes,Accipitridae,Red-Tailed Hawk,Common
Channel Islands National Park,Bird,Accipitriformes,Accipitridae,Rough-Legged Hawk,Occasional
Channel Islands National Park,Bird,Accipitriformes,Accipitridae,Swainson's Hawk,Occasional
Channel Islands National Park,Bird,Accipitriformes,Accipitridae,Northern Harrier,Rare
Channel Islands National Park,Bird,Accipitriformes,Accipitridae,White-Tailed Kite,Occasional
Channel Islands National Park,Bird,Accipitriformes,Accipitridae,Bald Eagle,Unknown
Channel Islands National Park,Bird,Accipitriformes,Pandionidae,Osprey,Occasional
Channel Islands National Park,Bird,Anseriformes,Anatidae,Wood Duck,Occasional
Channel Islands National Park,Bird,Anseriformes,Anatidae,Northern Pintail,Occasional
Channel Islands National Park,Bird,Anseriformes,Anatidae,American Wigeon,Common
Channel Islands National Park,Bird,Anseriformes,Anatidae,Northern Shoveler,Occasional
Channel Islands National Park,Bird,Anseriformes,Anatidae,Green-Winged Teal,Common
Channel Islands National Park,Bird,Anseriformes,Anatidae,Cinnamon Teal,Uncommon
Channel Islands National Park,Bird,Anseriformes,Anatidae,Blue-Winged Teal,Rare
