service_request_id,date_requested,neighborhood,service,status,street_address,public_description
4183116,2023-04-08T00:32:00,Downtown,Traffic Signal Issue,open,2ND AVE & G ST,"Signal, 2nd & G"
4183117,2023-04-08T00:44:00,Mid-City:Eastern Area,Missed Collection,open,"4791 Seminole Dr, San Diego, CA 92115, USA",My Blue Recycle Bin was not collected.  I'm the middle house of three homes on this block and my next-door neighbors' Blue Recycle Bins were not collected either!
4183118,2023-04-08T00:49:00,Navajo,Parking,open,"4728 Allied Rd, San Diego, CA 92120, USA",White van parked across my driveway.  I will need access to my driverway very early in the morning.
4183119,2023-04-08T01:04:00,Encanto Neighborhoods,Missed Collection,open,6066 Tempas Ct,Green container
4183120,2023-04-08T01:10:00,Navajo,Pothole,open,7961?7979 Topaz Lake Ave,Potholes  || LOCATION: Topaz Lake between Pearl Lake and Crystal Lake  || LANE: Both || Unknown
4183121,2023-04-08T01:11:00,North Park,Pothole,open,2828 University Ave,Pothole on university avenue  || LOCATION: University and utah || LANE: Right || Westbound
4183122,2023-04-08T02:00:00,Greater Golden Hill,Parking,open,2637 E St,"Illegal alley parking blocking my driveway gates . White Toyota 4Runner, and 2 other vehicles also illegally parked in ?F? street alley. This is a daily occurrence ."
4183123,2023-04-08T02:29:00,Downtown,Parking,open,"1169 Eighth Ave, San Diego, CA 92101, USA",This car is parked in a red zone and is a potential hazard if an emergency occurs.
4183124,2023-04-08T02:37:00,Downtown,Other,open,"678 F ST, San Diego, CA 92101, USA",Chefs is disturbing the peace after 2am
4183125,2023-04-08T02:38:00,Downtown,Other,open,"920 07TH AV, San Diego, CA 92101, USA",Encampment blocking sidewalk
4183127,2023-04-08T04:01:00,Mission Beach,Parking,open,2701?2715 Mission Blvd,Parked in red and in front of fire hydrant
4183131,2023-04-08T04:09:00,Downtown,Graffiti - Public,open,695 Sixth Ave,Graffiti on sixth and G
4183132,2023-04-08T04:10:00,Downtown,Shared Mobility Device,open,"786 06TH AV, San Diego, CA 92101, USA",14 birds sidewalk technology lie with ADA VIOLATIONS
4183133,2023-04-08T04:13:00,Downtown,Shared Mobility Device,open,557?595 Sixth Ave,15 illegal birds with sidewalk technology lie and ada violations
4183134,2023-04-08T04:18:00,Downtown,Shared Mobility Device,open,345 Sixth Ave,Everyday it?s the scam 13 illegal birds
4183136,2023-04-08T04:22:00,Downtown,Pothole,open,"852 10TH AV, San Diego, CA 92101, USA",Pothole in middle of street on tenth between f and e. || LOCATION: Tenth between e and f || LANE: Leftmost lane || Southbound
4183137,2023-04-08T04:23:00,Mission Beach,Parks Issue,open,2998?3040 Ocean Front Walk,"Glass bottles , liquor , firepit , Belmont"
4183138,2023-04-08T04:23:00,Downtown,Pothole,open,837 Tenth Ave,Pothole Between 10th and G and F street  || LOCATION: Between F and G on 10th || LANE: Middle || Southbound
4183141,2023-04-08T04:29:00,Downtown,Street Light Maintenance,open,1008 Island Ave,Out streetlights
