neighborhood,service,closed,open
Balboa Park,Dead Animal,11,0
Balboa Park,Development Services - Code Enforcement,2,0
Balboa Park,Encampment,215,20
Balboa Park,Environmental Services Code Compliance,8,1
Balboa Park,Graffiti - Code Enforcement,2,1
Balboa Park,Graffiti - Public,343,25
Balboa Park,Illegal Dumping,59,8
Balboa Park,Missed Collection,1,0
Balboa Park,Other,19,0
Balboa Park,Parking,17,5
Balboa Park,Parks Issue,239,32
Balboa Park,Pavement Maintenance,1,3
Balboa Park,Pothole,70,8
Balboa Park,ROW Maintenance,8,14
Balboa Park,Right-of-Way Code Enforcement,1,0
Balboa Park,Shared Mobility Device,32,8
Balboa Park,Sidewalk Repair Issue,11,6
Balboa Park,Stormwater,28,11
Balboa Park,Stormwater Code Enforcement,8,0
Balboa Park,Street Flooded,11,0
Balboa Park,Street Light Maintenance,7,57
Balboa Park,Street Sweeping,8,8
Balboa Park,Traffic Engineering,8,10
Balboa Park,Traffic Sign Maintenance,16,41
Balboa Park,Traffic Signal Issue,15,0
Balboa Park,Traffic Signal Timing,7,1
Balboa Park,Tree Maintenance,25,2
Balboa Park,Weed Cleanup,1,0
Barrio Logan,Dead Animal,2,0
Barrio Logan,Development Services - Code Enforcement,5,0
Barrio Logan,Encampment,136,6
Barrio Logan,Environmental Services Code Compliance,4,6
Barrio Logan,Graffiti - Code Enforcement,2,6
Barrio Logan,Graffiti - Public,269,48
Barrio Logan,Illegal Dumping,286,3
Barrio Logan,Missed Collection,44,3
Barrio Logan,Other,158,8
Barrio Logan,Parking,61,7
Barrio Logan,Parks Issue,1,0
Barrio Logan,Pavement Maintenance,8,3
Barrio Logan,Pothole,111,9
Barrio Logan,ROW Maintenance,1,19
Barrio Logan,Sidewalk Repair Issue,9,6
Barrio Logan,Stormwater,8,3
Barrio Logan,Stormwater Code Enforcement,3,6
Barrio Logan,Street Flooded,1,0
Barrio Logan,Street Light Maintenance,8,4
Barrio Logan,Street Sweeping,1,0
Barrio Logan,Traffic Engineering,4,6
Barrio Logan,Traffic Sign Maintenance,9,48
Barrio Logan,Traffic Signal Issue,31,0
Barrio Logan,Traffic Signal Timing,5,1
Barrio Logan,Tree Maintenance,16,7
Barrio Logan,Vegetation Encroachment,0,1
Barrio Logan,Waste on Private Property,1,1
Barrio Logan,Weed Cleanup,1,0
Black Mountain Ranch,Dead Animal,8,0
Black Mountain Ranch,Development Services - Code Enforcement,1,0
Black Mountain Ranch,Encampment,0,5
Black Mountain Ranch,Environmental Services Code Compliance,1,1
Black Mountain Ranch,Graffiti - Public,24,2
Black Mountain Ranch,Illegal Dumping,1,1
Black Mountain Ranch,Missed Collection,41,3
Black Mountain Ranch,Other,2,0
Black Mountain Ranch,Parking,10,4
Black Mountain Ranch,Parks Issue,7,3
Black Mountain Ranch,Pavement Maintenance,0,1
Black Mountain Ranch,Pothole,19,1
Black Mountain Ranch,ROW Maintenance,0,3
Black Mountain Ranch,Sidewalk Repair Issue,1,0
Black Mountain Ranch,Stormwater Code Enforcement,1,1
Black Mountain Ranch,Street Flooded,2,0
Black Mountain Ranch,Street Light Maintenance,1,14
Black Mountain Ranch,Street Sweeping,2,0
Black Mountain Ranch,Traffic Engineering,1,4
Black Mountain Ranch,Traffic Sign Maintenance,4,1
Black Mountain Ranch,Traffic Signal Issue,15,0
Black Mountain Ranch,Traffic Signal Timing,4,0
Black Mountain Ranch,Trash/Recycling Collection,2,0
Black Mountain Ranch,Tree Maintenance,4,0
Carmel Mountain Ranch,Dead Animal,8,0
Carmel Mountain Ranch,Encampment,11,1
Carmel Mountain Ranch,Environmental Services Code Compliance,2,1
Carmel Mountain Ranch,Graffiti - Code Enforcement,1,0
Carmel Mountain Ranch,Graffiti - Public,31,6
Carmel Mountain Ranch,Illegal Dumping,4,0
Carmel Mountain Ranch,Missed Collection,32,6
Carmel Mountain Ranch,Other,9,1
Carmel Mountain Ranch,Parking,23,11
Carmel Mountain Ranch,Parks Issue,4,1
Carmel Mountain Ranch,Pavement Maintenance,1,12
Carmel Mountain Ranch,Pothole,245,85
Carmel Mountain Ranch,ROW Maintenance,3,7
Carmel Mountain Ranch,Right-of-Way Code Enforcement,0,1
Carmel Mountain Ranch,Sidewalk Repair Issue,8,13
Carmel Mountain Ranch,Stormwater,0,1
Carmel Mountain Ranch,Stormwater Code Enforcement,2,0
Carmel Mountain Ranch,Street Flooded,8,0
Carmel Mountain Ranch,Street Light Maintenance,0,2
Carmel Mountain Ranch,Street Sweeping,5,1
Carmel Mountain Ranch,Traffic Engineering,0,2
Carmel Mountain Ranch,Traffic Sign Maintenance,2,3
Carmel Mountain Ranch,Traffic Signal Issue,11,0
Carmel Mountain Ranch,Traffic Signal Timing,16,0
Carmel Mountain Ranch,Trash/Recycling Collection,5,1
