Amy,Beth,Jo,Meg,Laurie,Chapter
23,26,44,26,0,1
36,38,65,46,0,2
38,40,127,82,16,3
52,58,161,99,16,4
58,72,216,112,51,5
64,100,229,117,60,6
91,105,238,122,67,7
139,114,309,138,84,8
142,119,330,209,108,9
147,124,342,213,112,10
164,144,384,237,123,11
175,164,444,278,154,12
183,177,468,299,181,13
189,182,516,320,202,14
197,194,542,338,210,15
204,203,555,353,219,16
223,232,584,374,231,17
226,262,619,388,253,18
256,269,624,389,269,19
265,276,653,414,274,20
267,277,720,445,300,21
276,292,737,454,308,22
283,298,788,510,319,23
298,307,824,539,339,24
305,313,836,554,350,25
342,318,853,559,355,26
345,322,881,561,355,27
348,322,950,613,366,28
394,323,999,615,369,29
451,328,1038,615,381,30
456,331,1045,616,384,31
463,364,1105,619,405,32
468,370,1107,620,406,33
468,372,1162,620,408,34
468,375,1204,622,442,35
471,412,1239,625,445,36
502,413,1244,625,471,37
502,413,1291,665,471,38
547,414,1306,666,504,39
548,435,1321,667,504,40
581,442,1338,667,538,41
588,451,1374,670,542,42
619,459,1435,673,571,43
632,459,1444,673,581,44
633,461,1450,675,581,45
635,462,1506,679,583,46
645,465,1543,685,596,47
