Name,Distance,Magnitude,Type,Year,Detection,Mass,Radius
11 Comae Berenices b,304.0,4.72307,Gas Giant,2007,Radial Velocity,6165.901999999999,11.88
11 Ursae Minoris b,409.0,5.013,Gas Giant,2009,Radial Velocity,4684.8142,11.99
14 Andromedae b,246.0,5.231330000000001,Gas Giant,2008,Radial Velocity,1525.5839999999998,12.649999999999999
14 Herculis b,58.0,6.61935,Gas Giant,2002,Radial Velocity,2586.7579823,12.32
16 Cygni B b,69.0,6.215,Gas Giant,1996,Radial Velocity,565.7374,13.2
17 Scorpii b,408.0,5.2260599999999995,Gas Giant,2020,Radial Velocity,1373.0256,12.649999999999999
18 Delphini b,249.0,5.51048,Gas Giant,2008,Radial Velocity,3273.649,12.21
1RXS J160929.1-210524 b,454.0,12.618,Gas Giant,2008,Direct Imaging,2542.64,18.304000000000002
24 Bootis b,313.0,5.59,Gas Giant,2018,Radial Velocity,289.2253,13.64
24 Sextantis b,235.0,6.4535,Gas Giant,2010,Radial Velocity,632.4816999999999,13.09
24 Sextantis c,235.0,6.4535,Gas Giant,2010,Radial Velocity,273.3338,13.64
2M0437 b,419.0,16.186,Gas Giant,2021,Direct Imaging,1271.32,12.76
2MASS J01033563-5515561 AB b,154.0,15.788,Gas Giant,2013,Direct Imaging,4131.79,12.100000000000001
2MASS J01225093-2439505 b,110.0,14.244000000000002,Gas Giant,2013,Direct Imaging,7786.835,11.0
2MASS J12073346-3932539 b,210.0,20.15,Gas Giant,2004,Direct Imaging,1589.1499999999999,12.649999999999999
2MASS J19383260+4603591 b,1293.0,12.651,Gas Giant,2015,Eclipse Timing Variations,603.877,13.2
2MASS J22362452+4751425 b,227.0,12.368,Gas Giant,2016,Direct Imaging,3972.875,12.100000000000001
30 Arietis B b,146.0,7.09209,Gas Giant,2009,Radial Velocity,4392.4106,12.100000000000001
42 Draconis b,296.0,4.8262,Gas Giant,2008,Radial Velocity,1233.1804,12.76
47 Ursae Majoris b,45.0,5.033519999999999,Gas Giant,1996,Radial Velocity,804.1098999999999,12.979999999999999
47 Ursae Majoris c,45.0,5.033519999999999,Gas Giant,2001,Radial Velocity,171.6282,13.97
47 Ursae Majoris d,45.0,5.033519999999999,Gas Giant,2009,Radial Velocity,521.2411999999999,13.2
4 Ursae Majoris b,240.0,4.5801,Gas Giant,2006,Radial Velocity,2256.593,12.43
51 Eridani b,97.0,5.21149,Gas Giant,2015,Direct Imaging,635.66,13.09
51 Pegasi b,50.0,5.45309,Gas Giant,1995,Radial Velocity,146.2018,13.97
55 Cancri b,41.0,5.95084,Gas Giant,1996,Radial Velocity,263.989598,13.64
55 Cancri c,41.0,5.95084,Gas Giant,2004,Radial Velocity,54.476062,8.36
55 Cancri d,41.0,5.95084,Gas Giant,2002,Radial Velocity,1232.54474,12.76
55 Cancri e,41.0,5.95084,Super Earth,2004,Radial Velocity,7.99,1.875
55 Cancri f,41.0,5.95084,Gas Giant,2007,Radial Velocity,44.814029999999995,7.447000000000001
61 Virginis b,28.0,4.6955,Neptune-like,2009,Radial Velocity,5.1,2.11
61 Virginis c,28.0,4.6955,Neptune-like,2009,Radial Velocity,18.2,4.377999999999999
61 Virginis d,28.0,4.6955,Neptune-like,2009,Radial Velocity,22.9,5.016
6 Lyncis b,178.0,5.873069999999999,Gas Giant,2008,Radial Velocity,638.8382999999999,13.09
70 Virginis b,58.0,4.9680800000000005,Gas Giant,1996,Radial Velocity,2380.5467,12.43
75 Ceti b,271.0,5.3532,Gas Giant,2012,Radial Velocity,953.49,12.87
7 Canis Majoris b,65.0,3.95,Gas Giant,2011,Radial Velocity,587.9855,13.2
7 Canis Majoris c,65.0,3.95,Gas Giant,2019,Radial Velocity,276.5121,13.64
81 Ceti b,330.0,5.64307,Gas Giant,2008,Radial Velocity,1684.4989999999998,12.54
8 Ursae Minoris b,530.0,6.83295,Gas Giant,2015,Radial Velocity,416.3573,13.42
91 Aquarii b,144.0,4.23946,Gas Giant,2013,Radial Velocity,1017.056,12.87
AB Aurigae b,529.0,7.0760000000000005,Gas Giant,2022,Direct Imaging,2860.47,12.32
AB Pictoris b,163.0,9.13,Gas Giant,2005,Direct Imaging,4290.705,12.100000000000001
Alpha Arietis b,66.0,2.0053799999999997,Gas Giant,2010,Radial Velocity,572.0939999999999,13.2
Alpha Tauri b,67.0,0.872,Gas Giant,2015,Radial Velocity,2056.3601,12.43
AU Microscopii b,32.0,8.81,Neptune-like,2020,Transit,20.12,3.993
AU Microscopii c,32.0,8.81,Neptune-like,2021,Transit,9.6,3.179
b Centauri AB b,320.0,4.01,Gas Giant,2021,Direct Imaging,3464.3469999999998,12.21
BD-00 4475 b,139.0,9.01,Gas Giant,2021,Radial Velocity,7961.6415,11.770000000000001
BD+03 2562 b,3492.0,9.577,Gas Giant,2017,Radial Velocity,2034.112,12.43
BD-06 1339 b,66.0,9.7,Neptune-like,2013,Radial Velocity,8.5,2.794
BD-06 1339 c,66.0,9.7,Gas Giant,2013,Radial Velocity,54.0311,8.217
BD-08 2823 b,135.0,9.86,Neptune-like,2009,Radial Velocity,12.7132,3.5420000000000003
BD-08 2823 c,135.0,9.86,Gas Giant,2009,Radial Velocity,104.8839,12.21
BD-10 3166 b,275.0,10.013,Gas Giant,2000,Radial Velocity,187.51969999999997,13.86
BD-11 4672 b,89.0,10.03,Gas Giant,2014,Radial Velocity,206.5895,13.75
BD-11 4672 c,89.0,10.03,Neptune-like,2020,Radial Velocity,15.37,3.96
BD-13 2130 b,3018.0,10.038,Gas Giant,2007,Radial Velocity,3108.3774,12.21
BD+14 4559 b,161.0,9.78,Gas Giant,2009,Radial Velocity,330.5432,13.53
BD+15 2375 b,2505.0,10.41,Gas Giant,2016,Radial Velocity,337.21763,13.53
BD+15 2940 b,1391.0,9.01,Gas Giant,2013,Radial Velocity,352.79130000000004,13.53
BD-17 63 b,112.0,9.62,Gas Giant,2008,Radial Velocity,1620.9329999999998,12.649999999999999
BD+20 2457 b,5023.0,9.743,Gas Giant,2009,Radial Velocity,17668.1697,11.33
BD+20 2457 c,5023.0,9.743,Gas Giant,2009,Radial Velocity,3963.3401,12.100000000000001
BD+20 274 b,4314.0,9.367,Gas Giant,2012,Radial Velocity,1334.886,12.76
BD+20 594 b,585.0,10.849,Neptune-like,2016,Transit,22.2481,2.5300000000000002
BD+45 564 b,175.0,9.67,Gas Giant,2021,Radial Velocity,432.2488,13.309999999999999
BD+48 738 b,2843.0,9.139,Gas Giant,2011,Radial Velocity,289.2253,13.64
BD+48 740 b,2174.0,8.69,Gas Giant,2018,Radial Velocity,540.3109999999999,13.2
BD+49 828 b,1442.0,9.381,Gas Giant,2015,Radial Velocity,508.528,13.309999999999999
BD+55 362 b,171.0,9.38,Gas Giant,2021,Radial Velocity,228.83759999999998,13.75
BD+60 1417 b,147.0,9.374,Gas Giant,2021,Direct Imaging,4767.45,14.41
BD+63 1405 b,124.0,8.96,Gas Giant,2021,Radial Velocity,1258.6068,12.76
Beta Cancri b,290.0,3.5101199999999997,Gas Giant,2014,Radial Velocity,2479.0739999999996,12.32
Beta Pictoris b,64.0,3.85,Gas Giant,2008,Direct Imaging,3729.1407079,18.15
Beta Pictoris c,64.0,3.85,Gas Giant,2019,Radial Velocity,3223.1521695999995,12.21
Beta Ursae Minoris b,126.0,2.0569,Gas Giant,2014,Radial Velocity,1938.7629999999997,12.54
CD Ceti b,28.0,13.95,Super Earth,2020,Radial Velocity,3.95,1.82
CI Tauri b,515.0,13.642000000000001,Gas Giant,2019,Radial Velocity,3686.8279999999995,12.21
COCONUTS-2 b,36.0,11.298,Gas Giant,2021,Direct Imaging,2002.329,12.21
CoRoT-10 b,1104.0,15.293,Gas Giant,2010,Transit,874.0324999999999,10.67
CoRoT-11 b,2137.0,12.897,Gas Giant,2010,Transit,740.5439,15.729999999999999
CoRoT-12 b,3674.0,15.588,Gas Giant,2010,Transit,291.45011,15.84
CoRoT-13 b,3748.0,15.005,Gas Giant,2010,Transit,415.72164,9.735
CoRoT-14 b,5691.0,15.932,Gas Giant,2010,Transit,2415.508,11.99
CoRoT-16 b,2389.0,16.052,Gas Giant,2011,Transit,170.03905,12.87
CoRoT-17 b,3837.0,16.29,Gas Giant,2011,Transit,772.3269,11.22
