id,continent
51686,Asia
23550,Asia
10199,Antarctica
16425,Antarctica
6905,Asia
8614,Antarctica
27032,Antarctica
15901,Antarctica
29419,Antarctica
5200,Asia
30742,Europe
616,Antarctica
27339,Antarctica
15943,Antarctica
22127,Antarctica
24325,Europe
2037,Antarctica
941,Antarctica
18323,Antarctica
8023,Antarctica
48463,Antarctica
21199,Antarctica
28393,Antarctica
9171,Antarctica
35517,Africa
57300,South America
10623,Antarctica
19367,Antarctica
10482,Antarctica
2209,Antarctica
18647,Antarctica
15500,Antarctica
19203,Antarctica
999,Antarctica
13831,Antarctica
16075,Antarctica
19599,Antarctica
46413,Antarctica
55355,Antarctica
28773,Antarctica
56017,Africa
23236,Asia
23748,North America
11872,Australia
23205,Asia
6468,Africa
52130,Africa
9076,Antarctica
1641,Antarctica
21339,Antarctica
8936,Antarctica
8278,Antarctica
6862,Asia
49820,Antarctica
6926,Asia
22452,Antarctica
10263,Antarctica
13132,Antarctica
51998,Asia
40562,Africa
9725,Antarctica
9107,Antarctica
7464,Asia
15906,Antarctica
11253,Antarctica
15969,Antarctica
3972,Antarctica
18287,Antarctica
11315,Antarctica
13007,Antarctica
14127,Antarctica
9130,Antarctica
47749,Antarctica
25314,Antarctica
29973,Antarctica
49697,Africa
50603,Antarctica
7511,Asia
47980,Antarctica
3515,Antarctica
23381,Asia
44865,Antarctica
28131,Antarctica
52279,Africa
4442,Antarctica
7600,Asia
13881,Antarctica
54775,Antarctica
26559,Antarctica
29752,Antarctica
11678,Africa
51917,Asia
14032,Antarctica
39816,Africa
3660,Antarctica
38995,Africa
25656,Antarctica
6921,Asia
2310,North America
29885,Antarctica
18909,Africa
6953,Asia
26109,Antarctica
10057,North America
50501,Antarctica
26059,Antarctica
26328,Antarctica
39731,Africa
6334,Africa
1703,Antarctica
3493,Antarctica
20114,Antarctica
13253,Antarctica
49136,Africa
30686,Antarctica
23632,Australia
39412,Africa
55741,Africa
11679,Africa
39985,Africa
2355,Antarctica
26453,Antarctica
19446,Antarctica
52851,North America
4448,Antarctica
16570,Antarctica
8417,Antarctica
25156,Antarctica
8200,Antarctica
26231,Antarctica
38586,Africa
7630,Asia
5598,Africa
10761,Antarctica
13224,Antarctica
55995,Africa
45007,Africa
49769,Antarctica
54741,Africa
7483,Asia
906,Antarctica
30195,Antarctica
24332,North America
50513,Antarctica
29439,Antarctica
20128,Antarctica
2431,Antarctica
18807,North America
38576,Africa
10932,North America
51259,Africa
23361,Asia
51899,Asia
55548,Australia
1117,Antarctica
19084,Antarctica
1107,Antarctica
18867,Australia
13682,Antarctica
15918,Antarctica
49903,Antarctica
26727,Antarctica
9732,Antarctica
54282,Africa
12998,Antarctica
48549,Asia
20012,Antarctica
25336,Antarctica
29277,Antarctica
647,Antarctica
15745,Antarctica
7632,Asia
26636,Antarctica
27975,Antarctica
25058,Antarctica
48212,Antarctica
16811,Antarctica
7883,Antarctica
56961,Africa
4756,Antarctica
54440,South America
55454,Asia
56028,Africa
12936,Antarctica
55890,Africa
10752,Antarctica
56226,Asia
5941,Africa
11625,Africa
25980,Antarctica
8750,Antarctica
9709,Antarctica
2057,Antarctica
5206,Australia
8694,Antarctica
18820,North America
21743,Antarctica
13199,Antarctica
18961,Antarctica
21586,Antarctica
19904,Antarctica
28092,Antarctica
55583,Asia
33918,Asia
6535,Africa
8183,Antarctica
19430,Antarctica
46501,Antarctica
1825,Antarctica
26948,Antarctica
16004,Antarctica
18501,Antarctica
13592,Antarctica
23621,Europe
77,Africa
24003,Asia
13646,Antarctica
56500,Asia
24989,Antarctica
35537,Asia
23661,Europe
16971,Europe
51089,Africa
14760,North America
53182,Africa
24308,Antarctica
47905,Antarctica
3472,Antarctica
49687,Africa
30251,Antarctica
10056,North America
21000,Antarctica
56281,Africa
28909,Antarctica
34050,Asia
23507,Europe
6242,Africa
53361,Africa
23294,Asia
14106,Antarctica
30105,Antarctica
49131,Africa
47850,Antarctica
14511,Antarctica
29943,Antarctica
19478,Antarctica
40374,Africa
24835,Antarctica
39811,Africa
12574,Antarctica
25127,Antarctica
39043,Africa
29171,Antarctica
6728,Asia
47767,Antarctica
24461,Antarctica
23671,Africa
45949,Asia
56468,Asia
38324,Africa
27192,Antarctica
27324,Antarctica
40474,Africa
10346,Antarctica
7598,Asia
28164,Antarctica
26091,Antarctica
4777,Antarctica
1151,Antarctica
24865,Africa
22389,North America
40000,Africa
40155,Africa
19117,Antarctica
52218,Africa
20926,Antarctica
46856,Antarctica
13055,Antarctica
11955,Australia
11340,Antarctica
46666,Antarctica
6324,Africa
25709,Antarctica
1919,Antarctica
8128,Antarctica
53313,Africa
841,Antarctica
37786,Africa
50824,Africa
46480,Antarctica
12967,Antarctica
8907,Antarctica
27076,Antarctica
38374,Africa
51887,Asia
8042,Antarctica
56612,Africa
46456,Antarctica
13888,Antarctica
54125,Africa
5961,Africa
20413,Antarctica
440,Asia
9599,Antarctica
39047,Africa
3487,Antarctica
56939,Africa
1390,Antarctica
2639,Antarctica
14257,Antarctica
765,Antarctica
11242,Antarctica
9057,Antarctica
26624,Antarctica
24494,Antarctica
55335,Africa
48453,Antarctica
16700,Europe
52294,Africa
9936,Antarctica
467,South America
7758,
27960,Antarctica
10979,Antarctica
57110,Africa
24417,Antarctica
6594,Africa
22618,North America
48395,Antarctica
54098,Africa
54825,Antarctica
26302,Antarctica
23354,Asia
25809,Antarctica
19321,Antarctica
49712,Africa
20237,Antarctica
6695,North America
9056,Antarctica
54407,Africa
7421,Asia
15002,Antarctica
926,Antarctica
3867,Antarctica
22697,North America
24795,Antarctica
5934,Africa
18156,Antarctica
28039,Antarctica
28276,Antarctica
46901,Antarctica
9548,Antarctica
50073,Antarctica
14411,Antarctica
29421,Antarctica
49264,Africa
13006,Antarctica
46743,Antarctica
14045,Antarctica
33879,Asia
29254,Antarctica
50427,Antarctica
26729,Antarctica
22245,Antarctica
54359,Africa
49555,Africa
23579,Asia
7,North America
23421,Asia
45950,Asia
27994,Antarctica
39884,Africa
38600,Africa
22707,North America
20713,Antarctica
50115,Antarctica
35561,Asia
9429,Antarctica
56967,Africa
14275,Antarctica
21365,Antarctica
7732,Europe
1651,Antarctica
21487,Antarctica
18948,Antarctica
57276,Africa
3762,Antarctica
5983,Africa
12883,Antarctica
21425,Antarctica
7430,Asia
55323,Africa
3343,Antarctica
49545,Africa
29947,Antarctica
13010,Antarctica
35338,Africa
24456,Antarctica
25337,Antarctica
26325,Antarctica
6230,Africa
25667,Antarctica
25666,Antarctica
13562,Antarctica
38913,Africa
33126,Africa
29059,Antarctica
39518,Africa
30495,North America
17432,Africa
49842,Antarctica
3901,Antarctica
13387,Antarctica
45884,Asia
54155,Africa
18461,Antarctica
19251,Antarctica
1632,Antarctica
21614,Antarctica
53994,Africa
49616,Africa
49737,Antarctica
1424,Antarctica
19468,Antarctica
11077,Antarctica
56906,Africa
9349,Antarctica
19836,Antarctica
23885,Asia
12831,Antarctica
12139,Asia
40256,Africa
27327,Antarctica
55003,Africa
46749,Antarctica
1016,Antarctica
3775,Antarctica
24972,Africa
17009,North America
55497,Asia
56208,Asia
30252,Antarctica
46984,Antarctica
55253,Africa
22412,Antarctica
8330,Antarctica
20282,Antarctica
52088,Africa
22388,North America
9684,Antarctica
20139,Antarctica
29357,Antarctica
7284,Asia
6353,Africa
4670,Antarctica
25858,Antarctica
54032,Africa
48326,Antarctica
5437,Australia
1329,Antarctica
20232,Antarctica
39699,Africa
100,Africa
21753,Antarctica
15927,Antarctica
1152,Antarctica
3848,Antarctica
50572,Antarctica
10388,Antarctica
46866,Antarctica
13837,Antarctica
22712,North America
18419,Antarctica
13880,Antarctica
