URI,Album,Song Name,Artist,Disc Number,Track Number,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
1dGr1c8CrMLDpV6mPbImSI,Lover,Lover,Taylor Swift,1,3,91,False,0.359,0.5429999999999999,7,-7.582000000000001,1,0.0919,0.49200000000000005,1.58e-05,0.11800000000000001,0.45299999999999996,68.53399999999999,221307,4
2QfznFotJNZmnIEYFdzE5T,Heartbreak Anniversary,Heartbreak Anniversary,Giveon,1,1,73,False,0.624,0.457,0,-8.876,1,0.0494,0.557,0.0,0.128,0.586,129.75799999999998,196795,4
5XeFesFbtLpXzIVDNQP22n,AM,I Wanna Be Yours,Arctic Monkeys,1,12,95,False,0.46399999999999997,0.41700000000000004,0,-9.345,0,0.0256,0.136,0.022000000000000002,0.0974,0.479,67.528,183956,4
2dHHgzDwk4BJdRwy9uXhTO,HEROES & VILLAINS,Creepin' (with The Weeknd & 21 Savage),Metro Boomin; The Weeknd; 21 Savage,1,10,92,True,0.715,0.62,1,-6.005,0,0.0484,0.41700000000000004,0.0,0.0822,0.172,97.95,221520,4
5W8YXBz9MTIDyrpYaCg2Ky,Infest,Last Resort,Papa Roach,1,2,83,True,0.589,0.89,4,-3.719,0,0.0603,0.000481,0.00082,0.201,0.6920000000000001,90.598,199907,4
4Dvkj6JhhA12EX05fT7y2e,Harry's House,As It Was,Harry Styles,1,4,94,False,0.52,0.731,6,-5.337999999999999,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4
7MXVkk9YMctZqd1Srtv4MB,Starboy,Starboy,The Weeknd; Daft Punk,1,1,93,True,0.679,0.5870000000000001,7,-7.015,1,0.276,0.141,6.35e-06,0.13699999999999998,0.486,186.003,230453,4
2QjOHCTQ1Jl3zawyYOpxh6,I Love You.,Sweater Weather,The Neighbourhood,1,4,92,False,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.10099999999999999,0.39799999999999996,124.053,240400,4
1BxfuPKGuaTgP7aM0Bbdwr,Lover,Cruel Summer,Taylor Swift,1,2,99,False,0.552,0.7020000000000001,9,-5.707000000000001,1,0.157,0.11699999999999999,2.0600000000000003e-05,0.105,0.564,169.99400000000003,178427,4
7KA4W4McWYRpgf0fWsJZWB,Flower Boy,See You Again (feat. Kali Uchis),"Tyler, The Creator; Kali Uchis",1,4,92,True,0.5579999999999999,0.5589999999999999,6,-9.222000000000001,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387,4
