URI,Album,Song Name,Disc Number,Track Number,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
1BxfuPKGuaTgP7aM0Bbdwr,Lover,Cruel Summer,1,2,99,False,0.552,0.7020000000000001,9,-5.707000000000002,1,0.157,0.117,2.0600000000000006e-05,0.105,0.564,169.99400000000003,178427,4
0V3wPSX9ygBnCm8psDIegu,Midnights,Anti-Hero,1,3,93,False,0.637,0.643,4,-6.5710000000000015,1,0.0519,0.13,1.8e-06,0.142,0.5329999999999999,97.008,200690,4
3hUxzQpSfdDqwM3ZTFQY0K,folklore,august,1,8,92,False,0.532,0.623,5,-9.208,1,0.0331,0.5379999999999999,7.28e-05,0.0925,0.403,89.93700000000003,261923,4
1R0a2iXumgCiFb7HEZ7gUE,Reputation,Don't Blame Me,1,4,91,False,0.615,0.534,9,-6.7189999999999985,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,236413,4
1dGr1c8CrMLDpV6mPbImSI,Lover,Lover,1,3,91,False,0.359,0.5429999999999999,7,-7.582000000000002,1,0.0919,0.4920000000000001,1.58e-05,0.118,0.453,68.53399999999999,221307,4
4R2kfaDFhslZEMJqAFNpdd,folklore,cardigan,1,2,91,False,0.613,0.581,0,-8.588,0,0.0424,0.537,0.00034500000000000004,0.25,0.551,130.033,239560,4
7KokYm8cMIXCsGVmUvKtqf,Midnights,Karma,1,11,89,True,0.642,0.62,8,-7.091,1,0.0666,0.0734,0.0,0.483,0.0969,90.02,204852,4
3sW3oSbzsfecv9XoUdGs7h,Speak Now,Enchanted,1,9,88,False,0.505,0.532,8,-3.526,1,0.0265,0.012,0.0,0.149,0.21600000000000005,81.907,353253,4
5kHMfzgLZP95O9NBy0ku4v,Speak Now,I Can See You,1,19,88,False,0.6940000000000001,0.764,6,-4.893,1,0.0337,0.0586,0.0,0.0608,0.8190000000000001,123.044,273186,4
1qrpoAMXodY6895hGKoUpA,Fearless,You Belong With Me,1,6,87,False,0.632,0.773,6,-4.856,1,0.0346,0.0623,0.0,0.0885,0.474,130.033,231124,4
0VE4kBnHJUgtMf0dy6DRmW,Reputation,Getaway Car,1,9,87,False,0.562,0.6890000000000001,2,-6.745,1,0.127,0.00465,2.23e-06,0.0888,0.35100000000000003,172.054,233627,4
5enxwA8aAbwZbf5qCHORXi,Red,All Too Well (10 Minute Version),1,30,87,True,0.631,0.518,0,-8.771,1,0.0303,0.274,0.0,0.08800000000000001,0.205,93.023,613027,4
6NFyWDv5CjfwuzoCkw47Xf,Reputation,Delicate,1,5,87,False,0.75,0.404,9,-10.178,0,0.0682,0.21600000000000005,0.000357,0.0911,0.0499,95.045,232253,4
4y5bvROuBDPr5fuwXbIBZR,Lover,Paper Rings,1,8,86,False,0.8109999999999999,0.7190000000000001,9,-6.553,1,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,222400,4
3RauEVgRgj1IuWdJ9fDs70,Lover,The Man,1,4,86,False,0.777,0.6579999999999999,0,-5.191,1,0.054000000000000006,0.0767,0.0,0.0901,0.633,110.048,190360,4
1P17dC1amhFzptugyAO7Il,Reputation,Look What You Made Me Do,1,6,86,False,0.7659999999999999,0.7090000000000001,9,-6.471,0,0.123,0.204,1.41e-05,0.126,0.506,128.07,211853,4
4D7BCuvgdJlYvlX5WlN54t,Midnights,"You're On Your Own, Kid",1,5,85,False,0.696,0.396,2,-10.289,1,0.0656,0.401,5.2e-06,0.125,0.38,120.041,194207,4
2yLa0QULdQr0qAIvVwN6B5,Reputation,...Ready For It?,1,1,85,False,0.613,0.764,2,-6.509,1,0.136,0.0527,0.0,0.197,0.417,160.015,208187,4
