word,Afterglow,Cornelia Street,Cruel Summer,Daylight,Death By A Thousand Cuts,False God,I Forgot That You Existed,I Think He Knows,It's Nice To Have A Friend,London Boy,Lover,ME! (Ft. Brendon Urie of Panic! At The Disco),Miss Americana & The Heartbreak Prince,Paper Rings,Soon You'll Get Better (Ft. The Chicks),The Archer,The Man,You Need To Calm Down
16th,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
a,1,3,11,3,14,7,2,3,8,14,4,11,9,3,2,2,15,5
about,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,1,1
accent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
accidents,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
adore,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
afraid,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
after,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
afterglow,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
afternoon,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
again,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
ages,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ago,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ah,0,0,0,2,0,1,0,3,0,0,3,0,2,1,0,0,0,0
ahah,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
ain't,0,0,2,0,0,0,0,4,0,0,0,3,0,0,0,0,0,1
air,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,7,0,0,6,0,2,2,1,0,6,3,1,0,4,1,5,2,5
all's,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
almost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
alone,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0
alpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
alright,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0
altar,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
always,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
am,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,0,1
american,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
americana,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
an,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
and,2,8,11,16,3,6,12,6,0,4,16,14,19,7,4,3,12,12
angels,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
another,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
anybody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
anything,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apartment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
archer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
architect,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
are,0,0,0,2,0,0,1,0,0,4,0,0,3,0,0,0,0,5
arms,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
around,0,1,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0
arrow,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as,0,2,0,2,0,0,4,0,0,2,0,0,0,0,0,0,10,0
ask,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
at,0,0,0,3,0,0,0,1,0,0,1,0,1,0,0,0,6,3
attack,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
attitude,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
autumn,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avenue,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
awake,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
